layer,cv_accuracy,cv_auc,probe_norm,probe_intercept,mean_clean_projection,mean_no_anchor_projection,mean_low_anchor_projection,mean_mid_anchor_projection,mean_high_anchor_projection
0,0.75,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1,0.575,0.5155555555555555,1.0,0.6728814840316772,6.308157907142231e-08,0.2760668098926544,0.2986656129360199,0.30172762274742126,0.3034583330154419
2,0.7416666666666667,0.6685185185185185,1.0,2.7054052352905273,5.364417887676609e-08,0.7109554409980774,0.7800436615943909,0.7866191267967224,0.7901541590690613
3,0.8166666666666667,0.84,1.0,11.608685493469238,-3.5762788286319847e-08,3.8942666053771973,3.0480258464813232,3.059814453125,3.0520057678222656
4,0.775,0.8248148148148148,1.0,6.432013511657715,-4.3312709863130294e-07,5.006210803985596,3.774470806121826,3.790491819381714,3.7760114669799805
5,0.875,0.8314814814814815,0.9999999403953552,3.3213188648223877,4.0531159584134e-07,5.727017879486084,4.759122848510742,4.774109363555908,4.768838405609131
6,0.9083333333333333,0.8781481481481481,0.9999999403953552,4.610283851623535,-1.5099843153620895e-07,8.191567420959473,8.199295043945312,8.207549095153809,8.191099166870117
7,0.9333333333333333,0.9296296296296296,1.0,-0.21030712127685547,-4.7683716530855236e-08,8.826192855834961,9.464155197143555,9.464524269104004,9.434480667114258
8,0.9416666666666667,0.9662962962962963,0.9999999403953552,3.7752132415771484,-1.4305115314527939e-07,8.624557495117188,10.7388277053833,10.820937156677246,10.753250122070312
9,0.9416666666666667,0.9796296296296296,1.0,4.521958827972412,1.5894572769070692e-08,9.662549018859863,12.015677452087402,12.161324501037598,12.276121139526367
10,0.975,0.9962962962962963,1.0,11.771825790405273,4.2915343101412873e-07,9.468878746032715,14.081544876098633,14.244604110717773,14.533636093139648
11,0.9916666666666667,1.0,1.0,14.03563117980957,-4.6094257299955643e-07,10.109231948852539,16.15890121459961,16.404844284057617,16.839181900024414
12,0.9916666666666667,1.0,1.0,11.5052490234375,-8.424123052463983e-07,11.590550422668457,21.772066116333008,23.53456687927246,26.859243392944336
13,1.0,1.0,1.0,17.808942794799805,1.1126200405442432e-07,13.384747505187988,30.01786231994629,32.83026885986328,38.93315505981445
14,0.9916666666666667,1.0,1.0,9.945785522460938,1.748402951307071e-07,14.38595962524414,42.086387634277344,46.44306564331055,53.983943939208984
15,0.9916666666666667,1.0,1.0,1.139786720275879,5.523363597603748e-07,17.69294548034668,54.62276077270508,60.057334899902344,68.53919219970703
16,0.9916666666666667,1.0,1.0,12.693833351135254,-2.7815499947791977e-07,20.52590560913086,67.72883605957031,74.19336700439453,83.5765609741211
17,0.9916666666666667,1.0,0.9999999403953552,22.766456604003906,2.662340818915254e-07,23.527498245239258,84.82017517089844,92.1817855834961,101.17757415771484
18,0.9916666666666667,1.0,1.0,6.303741455078125,1.144409225162235e-06,29.0068302154541,119.564208984375,131.5969696044922,146.36705017089844
19,0.9666666666666667,1.0,1.0,-2.7787322998046875,-1.9073486328125e-06,30.01311492919922,149.0572967529297,167.76364135742188,191.07388305664062
20,0.9666666666666667,1.0,1.0,35.16714096069336,-1.6530354969290784e-06,37.54594039916992,180.71792602539062,209.402587890625,241.5033721923828
21,0.95,0.9996296296296296,0.9999999403953552,32.958343505859375,7.629394644936838e-07,28.692941665649414,219.06927490234375,255.79893493652344,299.53118896484375
22,0.95,0.9977777777777778,1.0,-56.89291763305664,5.086263286102621e-07,26.32286834716797,274.35296630859375,321.43865966796875,385.0510559082031
23,0.925,0.9944444444444445,1.0,-2.0422210693359375,-1.1189778888365254e-05,26.165721893310547,335.8127136230469,399.1746826171875,478.21673583984375
24,0.9416666666666667,0.9966666666666667,0.9999999403953552,-36.78349304199219,-3.051757857974735e-06,37.921142578125,394.1644592285156,464.0581970214844,558.7954711914062
25,0.95,0.9962962962962963,1.0,-11.589248657226562,-1.0172526572205243e-06,62.54357147216797,459.5628662109375,538.129638671875,652.704833984375
26,0.95,0.9955555555555555,1.0000001192092896,-75.32307434082031,-1.4241536518966313e-05,73.98465728759766,542.6063842773438,627.124755859375,768.7467651367188
27,0.95,0.9951851851851852,0.9999999403953552,-260.5910949707031,8.138021257764194e-06,91.35230255126953,570.7179565429688,655.4949340820312,803.7554931640625
28,0.9333333333333333,0.9951851851851852,0.9999999403953552,-4.3166584968566895,6.993611805228284e-07,2.998311758041382,34.168128967285156,39.1624755859375,48.00680923461914
