id,condition,layer,pc1,pc2,true_quality,answer_type
math_001,clean,24,10.007557,-7.2818623,10,correct
math_002,clean,24,10.681417,-7.0161877,2,incorrect
math_003,clean,24,18.179491,-7.5016346,10,correct
math_004,clean,24,6.523506,-13.303057,2,incorrect
math_005,clean,24,21.52138,11.796894,10,correct
math_006,clean,24,2.76544,11.251507,3,incorrect
math_007,clean,24,-17.358109,-0.2643051,10,correct
math_008,clean,24,-25.874575,-4.6550827,10,correct
math_009,clean,24,-25.073145,0.6648598,2,incorrect
math_010,clean,24,-1.3729162,16.308674,10,correct
math_001,no_anchor_context,24,-1.8930225,-13.670305,10,correct
math_002,no_anchor_context,24,-0.091150284,-13.897228,2,incorrect
math_003,no_anchor_context,24,7.4512043,-11.221371,10,correct
math_004,no_anchor_context,24,-2.1992893,-15.570808,2,incorrect
math_005,no_anchor_context,24,13.399874,3.8653107,10,correct
math_006,no_anchor_context,24,-1.9042683,4.995682,3,incorrect
math_007,no_anchor_context,24,-27.82667,-10.7700615,10,correct
math_008,no_anchor_context,24,-33.35546,-11.34304,10,correct
math_009,no_anchor_context,24,-32.710304,-2.962204,2,incorrect
math_010,no_anchor_context,24,-6.7263317,11.973839,10,correct
math_001,low_anchor,24,-15.874149,10.147003,10,correct
math_002,low_anchor,24,-15.286022,10.039341,2,incorrect
math_003,low_anchor,24,-9.741659,9.881981,10,correct
math_004,low_anchor,24,-15.60317,5.0283356,2,incorrect
math_005,low_anchor,24,-10.191069,13.069878,10,correct
math_006,low_anchor,24,-16.642147,13.872978,3,incorrect
math_007,low_anchor,24,-31.314428,-1.1444092,10,correct
math_008,low_anchor,24,-33.367058,6.392681,10,correct
math_009,low_anchor,24,-34.920097,9.670555,2,incorrect
math_010,low_anchor,24,-21.453007,23.104317,10,correct
math_001,high_anchor,24,-5.726346,15.773853,10,correct
math_002,high_anchor,24,-5.038294,15.094788,2,incorrect
math_003,high_anchor,24,1.2834835,13.921501,10,correct
math_004,high_anchor,24,-7.2627525,9.696228,2,incorrect
math_005,high_anchor,24,1.7777472,18.548527,10,correct
math_006,high_anchor,24,-9.628065,18.34071,3,incorrect
math_007,high_anchor,24,-26.726309,4.0419197,10,correct
math_008,high_anchor,24,-29.740637,9.875092,10,correct
math_009,high_anchor,24,-30.545439,14.776009,2,incorrect
math_010,high_anchor,24,-13.674007,28.058266,10,correct
