layer,cv_accuracy,cv_auc,probe_norm,probe_intercept,mean_clean_projection,mean_no_anchor_projection,mean_low_anchor_projection,mean_mid_anchor_projection,mean_high_anchor_projection
0,0.6666666666666666,0.5,0.0,-0.0,0.0,0.0,0.0,,0.0
1,0.9,0.815,0.9999999403953552,0.7615384459495544,-2.0116567966965704e-08,0.03387928754091263,0.04951199144124985,,0.050246261060237885
2,0.9333333333333333,0.92,1.0,-0.24143095314502716,-2.020970057969862e-08,0.15960638225078583,0.14165404438972473,,0.14359498023986816
3,0.9333333333333333,0.87,0.9999999403953552,1.6102733612060547,1.4994293806580572e-08,0.27099311351776123,0.2513376474380493,,0.25715357065200806
4,0.9333333333333333,0.975,1.0,0.23851749300956726,-5.438923977862942e-08,0.41621074080467224,0.4087807238101959,,0.4152567982673645
5,0.9333333333333333,1.0,1.0,3.7305586338043213,-5.4016709327697754e-08,0.8112545013427734,0.5876728296279907,,0.5996960401535034
6,1.0,1.0,0.9999999403953552,3.7754716873168945,-3.278255533700758e-08,0.8697322607040405,0.7607302069664001,,0.7660397291183472
7,1.0,1.0,1.0,2.787745714187622,-1.5646218542997303e-08,1.0266826152801514,0.8899391889572144,,0.8933638334274292
8,1.0,1.0,1.0,1.1588655710220337,-6.109475947368992e-08,1.3186739683151245,1.0402493476867676,,1.0428578853607178
9,1.0,1.0,1.0,1.2996265888214111,-5.9604645663569045e-09,1.4271296262741089,1.329446792602539,,1.3546288013458252
10,1.0,1.0,1.0,1.4147998094558716,-5.662441182607836e-08,1.3772497177124023,1.7949745655059814,,1.7872642278671265
11,1.0,1.0,1.0,2.6290361881256104,-1.639127766850379e-08,1.4016897678375244,2.036869525909424,,2.0252327919006348
12,1.0,1.0,1.0,4.0898942947387695,-6.258487417198921e-08,1.214093804359436,2.263254404067993,,2.2490315437316895
13,1.0,1.0,0.9999999403953552,0.6058799028396606,5.960464477539063e-08,1.5384312868118286,2.471283435821533,,2.467373847961426
14,1.0,1.0,1.0,-0.024242162704467773,6.407499597571586e-08,1.7248764038085938,2.7036876678466797,,2.7056708335876465
15,1.0,1.0,1.0,0.7572452425956726,-4.917383122915453e-08,1.7749664783477783,3.013784408569336,,2.9798495769500732
16,1.0,1.0,1.0,1.1790164709091187,-5.9604645663569045e-09,1.761981725692749,3.1377289295196533,,3.1422550678253174
17,1.0,1.0,1.0,3.2019095420837402,-1.370906801412275e-07,2.1478447914123535,3.8074309825897217,,3.770570755004883
18,1.0,1.0,1.0,5.05645751953125,7.152557657263969e-08,2.365144729614258,4.188284397125244,,4.154488563537598
19,1.0,1.0,1.0,0.79123455286026,-3.5762788286319847e-08,2.3975729942321777,4.607429504394531,,4.490433216094971
20,1.0,1.0,1.0,-0.7727916240692139,1.4305115314527939e-07,2.887174367904663,5.499395847320557,,5.366826057434082
21,1.0,1.0,0.9999999403953552,-0.7665634155273438,-4.3511391822903533e-07,4.258395195007324,7.830382347106934,,7.332932949066162
22,1.0,1.0,0.9999998807907104,-5.9019246101379395,-3.457069510659494e-07,4.706334114074707,8.610823631286621,,8.005101203918457
23,1.0,1.0,1.0,1.0321412086486816,2.5629998390286346e-07,5.576205253601074,10.701983451843262,,9.713567733764648
24,1.0,1.0,1.0,-25.927608489990234,-2.384185791015625e-06,19.748838424682617,51.16737365722656,,47.32172393798828
